,text,full_form,tox_score,real_form
218,dick milker,dick,21,fuck
219,dick nibbler,dick,28,fuck
220,dick smoker,dick,29,fuck
221,dick-gobbler,dick,33,fuck
222,dickjockies,dick,27,fuck
223,dicklicker,dick,30,fuck
224,dicks,dick,35,fuck
225,dickz,dick,27,fuck
226,diddle,diddle,4,fuck
227,dikhead,dick,27,fuck
228,diks,dick,9,fuck
229,dild0,dildo,17,fuck
230,dipsh1tty,shit,32,
231,dipshat,shit,29,
232,dipstick,dipstick,13,fuck
233,dirty sanchez,dirty sanchez,23,fuck
234,dix,dick,5,fuck
235,dlck,dick,4,fuck
236,dlcks,dick,6,fuck
237,dog's bollocks,bollocks,23,fuck
238,doggo style,doggy style,7,fuck
239,doggy style,doggy style,9,fuck
240,doggy_style,doggy style,5,fuck
241,dogie style,doggy style,5,fuck
242,dogsh1ts,shit,28,
243,dogstyle,doggy style,8,fuck
244,dolt,dolt,27,fuck
245,dong,dong,14,fuck
246,doosh,douche,5,fuck
247,dothead,dothead,22,fuck
248,double pen,double pen,2,fuck
249,double-dong,dong,13,fuck
250,douche,douche,17,fuck
251,douche canoe,douche,17,fuck
252,dumasses,ass,12,fuck
253,dumbarrassed,ass,30,fuck
254,dump a load,dump a load,11,fuck
255,dune coon,coon,17,fuck
256,dyke,dyke,18,fuck
257,erectoplasm,erectoplasm,9,fuck
258,f'ed,fuck,5,
259,f'er,fuck,8,
260,f@g,faggot,10,
261,f@gging,faggot,26,
262,f@gs,faggot,21,
263,f@k,fuck,24,
264,fackuhs,fuck,25,
265,fckahz,fuck,32,
266,Fckk,fuck,48,
267,fckking,fuck,48,
268,fckyeah,fuck,31,
269,feck,fuck,14,
270,fecker,fuck,22,
271,feg,faggot,27,
272,fellatio aficionado,fellatio,26,fuck
273,fellator,fellatio,23,fuck
274,finger,finger,5,fuck
275,fingerbanged,finger,21,fuck
276,fingerpop,finger,4,fuck
277,fkbny,fuck,19,
278,fked,fuck,21,
279,fker,fuck,27,
280,fking,fuck,23,
281,fkings,fuck,32,
282,fkker,fuck,48,
283,flamer,flamer,4,fuck
284,flamers,flamer,3,fuck
285,fook,fuck,23,
286,fookuh,fuck,20,
287,forked,fuck,10,
288,fuc,fuck,30,
289,fucc,fuck,25,
290,fucca,fuck,18,
291,fuccs,fuck,30,
292,fucs,fuck,25,
293,fudgepacker,fudge packer,19,fuck
294,fudgepackers,fudge packer,19,fuck
295,fugged,fuck,17,
296,fugger,fuck,31,
297,fuggerz,fuck,32,
298,fuggings,fuck,20,
299,fugly,fuck,31,
300,fukked,fuck,49,
301,fukkuh,fuck,28,
302,fuks,fuck,21,
303,fuku,fuck,25,
304,funbags,funbags,25,fuck
305,fuq,fuck,32,
306,futhamucka,motherfucker,8,
307,fux,fuck,19,
308,fux0r,fuck,24,
309,fvckwhi,fuck,25,
310,g@ylord,gay,5,
311,g0ddamn,damn,20,fuck
312,g0ddamned,damn,23,fuck
313,g0ddamnit,damn,23,fuck
314,gash-stabber,gash-stabber,23,fuck
315,gayest,gay,35,
316,gaylord,gay,38,
317,gaylords,gay,37,
318,gayness,gay,28,
319,gaysian,gay,33,
320,geebag,garbage bag,23,fuck
321,gin jockey,gin jockey,6,fuck
322,girlieboy,girlyboy,6,fuck
323,girly bits,girly bits,14,fuck
324,girlyboy,girlyboy,7,fuck
325,gobshite,shit,30,
